"Relação de Alunos Desistência dos Cursos – PG
Bacharelado em Ciência da Computação 
Tecnologia Em Análise E Desenvolvimento De Sistemas",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
#,id,Ano Ingresso,Per. Ingresso,Curso,Forma de Ingresso,Tipo de Cota,Sigla Cota,Escola Pública?,Coeficiente,Escore Vest,Nota Enem,Sexo,Idade,Data Nascimento,Cidade,Estado,Grupo (Étnico),Situação Atual do Aluno,Período do Aluno,Ano Desistência,Período Desistências
24,e+8+bz,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,54388",,"659,2",M,28,30/03/1991,Campinas,SP,Branca,Desistente,2,2014,2
25,n1kna8,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,7375",,"654,3",M,28,20/03/1991,Itapetininga,SP,Não declarado,Formado,8,2014,2
26,gyefpx,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,6633",,,M,27,05/04/1992,Ponta Grossa,PR,Amarela,Formado,8,2014,2
27,744qjk,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,7033",,"593,8",M,27,12/05/1992,Telêmaco Borba,PR,Branca,Formado,8,2014,2
28,c887ff,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,7684",,"595,6",F,27,15/07/1992,Sete Barras,SP,Branca,Formado,8,2014,2
29,c5yqwn,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,6757",,666,M,27,12/02/1992,Ponta Grossa,PR,Branca,Formado,8,2014,2
30,5d7iff,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,7771",,"705,8",M,28,21/06/1991,Ponta Grossa,PR,Branca,Formado,8,2014,2
31,k7fkjk,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,8511",,"686,9",F,27,24/07/1992,Ponta Grossa,PR,Branca,Formado,8,2014,2
32,js4ynz,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,5011",,"648,3",M,31,21/01/1988,Aracaju,SE,Parda,Desistente,6,2014,2
33,7kfh5c,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Pública,"0,494",,"603,7",M,27,20/07/1992,Curitiba,PR,Parda,Transferido,4,2015,1
34,s6jypx,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Cotista,Cotista,Escola Pública,"0,5064",,"674,6",M,28,11/08/1991,Ponta Grossa,PR,Branca,Mudou de Curso,5,2015,2
35,tfsaff,2010,1,Ciência Da Computação,SISU - Sistema de Seleção Unificada,Ampla concorrência,Não cotista,Escola Particular,"0,7658",,"655,7",M,27,29/06/1992,Ponta Grossa,PR,Não declarado,Formado,8,2015,2
